# https://chainz.cryptoid.info/ and whois results
# Deutsche eMark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.152.33.4|/eMark:1.6.1.2/|60012|11878|107.152.33.0/24|US|arin|2013-12-03|TZULO, US
107.218.22.183|/eMark:1.5.1/|60011|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.24.102.238|/eMark:1.6.1.2/|60012|701|108.24.0.0/16|US|arin|2009-06-05|UUNET, US
112.141.27.176|/eMark Android:1.0.0/|60011|9443|112.141.0.0/16|AU|apnic|2009-02-11|VOCUS-RETAIL-AU Vocus Retail, AU
113.177.117.144|/eMark:1.6.1.2/|60012|45899|113.177.112.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
121.36.61.114|/eMark:1.6.1.1/|60012|55990|121.36.0.0/17|CN|apnic|2006-05-23|HWCSNET Huawei Cloud Service data center, CN
122.59.8.177|/eMark:1.5.0/|60011|4771|122.59.8.0/21|NZ|apnic|2008-09-16|SPARKNZ Spark New Zealand Trading Ltd., NZ
144.91.120.189|/eMark:1.6.1.2/|60012|51167|144.91.120.0/23|DE|ripencc|1990-11-20|CONTABO, DE
147.135.97.55|/eMark:1.6.1/|60012|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
167.86.116.187|/eMark:1.6.1/|60012|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.105.182.91|/eMark:1.6.1.1/|60012|63949|172.105.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
178.254.43.126|/eMark:1.6.1.2/|60012|42730|178.254.32.0/20|DE|ripencc|2010-06-18|EVANZOAS, DE
178.37.139.63|/eMark:1.6.1.2/|60012|12741|178.36.0.0/15|PL|ripencc|2010-01-28|AS-NETIA Warszawa 02-822, PL
185.123.185.15|/eMark:1.6.1.2/|60012|43232|185.123.184.0/22|BY|ripencc|2015-10-28|TELEVID-AS16, BY
185.205.246.221|/eMark:1.6.1.2/|60012|51167|185.205.246.0/24|DE|ripencc|2017-05-30|CONTABO, DE
194.230.148.140|/eMark Android:1.0.0/|60011|6730|194.230.0.0/16|CH|ripencc|1996-01-23|SUNRISE, CH
195.90.208.175|/eMark:1.6.1.2/|60012|42730|195.90.192.0/18|DE|ripencc|1997-04-22|EVANZOAS, DE
195.90.211.174|/eMark:1.6.1.2/|60012|42730|195.90.192.0/18|DE|ripencc|1997-04-22|EVANZOAS, DE
207.89.76.178|/eMark:1.6.1.2/|60012|58243|207.89.64.0/20|DE|ripencc|1996-03-27|TELEAG, DE
208.110.169.2|/eMark:1.6.1.2/|60012|7226|208.110.168.0/23|US|arin|2007-04-06|DATABANK-LATISYS, US
212.26.236.151|/eMark:1.6.1.2/|60012|12389|212.26.236.0/24|RU|ripencc|1999-10-07|ROSTELECOM-AS, RU
